UserName,Handle,Timestamp,Text,Comments,Likes,Retweets,Views,Engagement Score,ImageURLs
N I,@anthony_pears,2023-09-30T05:00:01.000Z,"N I
@anthony_pears
·
Sep 30Darkness.. 



#Filmmaker #Filmmaking #FilmTwitter #filmmakers #photographer #laughter #AIart 
 #graffiti  #martialarts #London #woman #Fights # #digitalart #pirate #GOT #LOTR #TREASURE #Medieval #AIartists #BERSERK #devil",0,0,2,128,1.56,"https://pbs.twimg.com/profile_images/1714558914652446720/LyK9wCc4_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f601.svg, https://abs-0.twimg.com/emoji/v2/svg/2620.svg, https://pbs.twimg.com/media/F7OVsd1XcAA5MoZ?format=jpg&name=medium"
N I,@anthony_pears,2023-09-29T07:08:00.000Z,"N I
@anthony_pears
·
Sep 29Individuals.. 



#Filmmaker #Filmmaking #FilmTwitter #filmmakers #photographer #laughter #AIart 
 #graffiti  #martialarts #London #woman #Fights # #digitalart #pirate #GOT #LOTR #TREASURE #Medieval #AIartists",0,0,6,123,4.88,"https://pbs.twimg.com/profile_images/1714558914652446720/LyK9wCc4_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f601.svg, https://abs-0.twimg.com/emoji/v2/svg/2620.svg, https://pbs.twimg.com/media/F7LNpi7WEAAX-2U?format=jpg&name=small, https://pbs.twimg.com/media/F7LNpj8WIAEbQAE?format=jpg&name=small, https://pbs.twimg.com/media/F7LNpl4W8AAIvJU?format=jpg&name=small, https://pbs.twimg.com/media/F7LNpoOXcAAKEYX?format=jpg&name=small"
N I,@anthony_pears,2023-09-29T06:35:37.000Z,"N I
@anthony_pears
·
Sep 29Smile pretty for the devil.. 



#Filmmaker #Filmmaking #FilmTwitter #filmmakers #photographer #laughter #AIart 
 #graffiti  #martialarts #London #woman #Fights # #digitalart #pirate #GOT #LOTR #TREASURE #Medieval #AIartists",0,0,6,139,4.32,"https://pbs.twimg.com/profile_images/1714558914652446720/LyK9wCc4_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f601.svg, https://abs-0.twimg.com/emoji/v2/svg/2620.svg, https://pbs.twimg.com/media/F7LGOhhXkAAZ3j1?format=jpg&name=medium"
N I,@anthony_pears,2023-09-27T06:20:37.000Z,"N I
@anthony_pears
·
Sep 27I smell humans... 

#Filmmaker #Filmmaking #FilmTwitter #filmmakers #photographer #laughter #AIart 
 #graffiti  #martialarts #London #woman #Fights # #digitalart #pirate #GOT #LOTR #TREASURE #Medieval #aiartist",0,0,6,167,3.59,"https://pbs.twimg.com/profile_images/1714558914652446720/LyK9wCc4_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f99c.svg, https://abs-0.twimg.com/emoji/v2/svg/1f3f4-200d-2620-fe0f.svg, https://abs-0.twimg.com/emoji/v2/svg/1f601.svg, https://abs-0.twimg.com/emoji/v2/svg/2620.svg, https://pbs.twimg.com/media/F7AvuQ0XEAAmnWt?format=jpg&name=medium"
N I,@anthony_pears,2023-09-26T06:10:39.000Z,"N I
@anthony_pears
·
Sep 26Dare to join? 

#Filmmaker #Filmmaking #FilmTwitter #filmmakers #photographer #laughter #AIart 
 #graffiti  #martialarts #London #woman #Fights # #digitalart #pirate #GOT #LOTR #TREASURE #Medieval #aiartist",1,1,7,157,5.10,"https://pbs.twimg.com/profile_images/1714558914652446720/LyK9wCc4_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f99c.svg, https://abs-0.twimg.com/emoji/v2/svg/1f3f4-200d-2620-fe0f.svg, https://abs-0.twimg.com/emoji/v2/svg/1f601.svg, https://abs-0.twimg.com/emoji/v2/svg/2620.svg, https://pbs.twimg.com/media/F67judaXEAAZsLS?format=jpg&name=medium"
N I,@anthony_pears,2023-09-25T06:23:00.000Z,"N I
@anthony_pears
·
Sep 25Let's ride a shark, shall we?

#Filmmaker #Filmmaking #FilmTwitter #filmmakers #photographer #laughter #AIart 
 #graffiti  #martialarts #London #woman #Fights # #digitalart #pirate #GOT #LOTR #TREASURE #Medieval #aiartist",0,0,5,229,2.18,"https://pbs.twimg.com/profile_images/1714558914652446720/LyK9wCc4_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f601.svg, https://abs-0.twimg.com/emoji/v2/svg/2620.svg, https://pbs.twimg.com/media/F62dFkUWYAA5S5v?format=jpg&name=medium"
Mausinner (commissions OPEN!),@mausinner,2023-09-25T02:20:46.000Z,"Mausinner (commissions OPEN!)
@mausinner
·
Sep 24My part for a LOTR collab that didn't come to fruition #LOTR #digitalart",0,2,7,383,2.35,"https://pbs.twimg.com/profile_images/1682155386017841152/q6GAIMd3_x96.jpg, https://pbs.twimg.com/media/F61lh7nX0AATLss?format=jpg&name=medium"
ArtDragor,@ArtDragor,2023-09-24T20:28:15.000Z,"ArtDragor
@ArtDragor
·
Sep 24She Sauron

#Art #Artwork #Sauron #lordoftherings #lotr #woman #portrait #study #eye #dark #fantasy #mordor #elf #illustration #painting #digital #digitalart #smug #smile #face #blackhair",1,0,7,399,1.75,"https://pbs.twimg.com/profile_images/1421012144271790081/i5gDaKYC_x96.jpg, https://pbs.twimg.com/media/F60U3Q8XsAA65Wr?format=jpg&name=medium"
N I,@anthony_pears,2023-09-24T10:02:56.000Z,"N I
@anthony_pears
·
Sep 24Don't make me laugh!!! 

#Filmmaker #Filmmaking #FilmTwitter #filmmakers #photographer #laughter #AIart 
 #graffiti  #martialarts #London #woman #Fights # #digitalart #pirate #GOT #LOTR #TREASURE #Medieval #aiartist",0,0,7,117,5.98,"https://pbs.twimg.com/profile_images/1714558914652446720/LyK9wCc4_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f601.svg, https://abs-0.twimg.com/emoji/v2/svg/2620.svg, https://pbs.twimg.com/media/F6yFu0AWkAAMIoR?format=jpg&name=medium"
N I,@anthony_pears,2023-09-23T06:43:29.000Z,"N I
@anthony_pears
·
Sep 23Looking for thy sword? 

#Filmmaker #Filmmaking #FilmTwitter #filmmakers #photographer #laughter #AIart 
 #graffiti  #martialarts #London #woman #Fights # #digitalart #pirate #GOT #LOTR #TREASURE #Medieval #aiartist",0,0,4,256,1.56,"https://pbs.twimg.com/profile_images/1714558914652446720/LyK9wCc4_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f601.svg, https://abs-0.twimg.com/emoji/v2/svg/2620.svg, https://pbs.twimg.com/media/F6sOh8RXkAATl_u?format=jpg&name=medium"
N I,@anthony_pears,2023-09-22T06:04:17.000Z,"N I
@anthony_pears
·
Sep 22I am finally here. 

#Filmmaker #Filmmaking #FilmTwitter #filmmakers #photographer #laughter #AIart 
 #graffiti  #martialarts #London #woman #Fights # #digitalart #pirate #GOT #LOTR #TREASURE #Medieval #aiartist",0,0,19,157,12.10,"https://pbs.twimg.com/profile_images/1714558914652446720/LyK9wCc4_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f601.svg, https://abs-0.twimg.com/emoji/v2/svg/2620.svg, https://pbs.twimg.com/media/F6m7dG1X0AA6pM0?format=jpg&name=medium"
Azeret Draws,@azerethena,2023-09-01T23:44:51.000Z,"Azeret Draws
@azerethena
·
Sep 1Working on some more characters concept art !  I’m definitely in the LOTR vibe  #LordOfTheRings #drawingart #digitalart #conceptart #LOTR #FYP #explore",0,0,0,27,0.00,"https://pbs.twimg.com/profile_images/1710839255277187072/baU_z96s_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f64c-1f3fc.svg, https://abs-0.twimg.com/emoji/v2/svg/1f525.svg, https://abs-0.twimg.com/emoji/v2/svg/1f6e1.svg, https://abs-0.twimg.com/emoji/v2/svg/2694.svg, https://pbs.twimg.com/media/F4-lZVJWcAAyu0o?format=jpg&name=medium"
enterlink art,@enterlinkart,2023-08-31T15:52:45.000Z,"enterlink art
@enterlinkart
·
Aug 31The Giant Statues of King's Valley #sdxl #fantasyart 

#digitalart #digitalartist #fantasy #landscape #lotr #gameart #conceptart #digitalpainting #characterart",0,0,4,141,2.84,"https://pbs.twimg.com/profile_images/1607773787839160322/payZ95-p_x96.png, https://pbs.twimg.com/media/F43vpmaWwAANWNd?format=jpg&name=small, https://pbs.twimg.com/media/F43vpmyWMAEyP5K?format=jpg&name=small"
Fabled Frames,@FabledFrames,2023-08-30T07:20:06.000Z,"Fabled Frames
@FabledFrames
·
Aug 30Grey Havens

#lotr #tolkien #LordOfTheRings #fantasy #fantasyart #digitalart #AIart #midjourney #aiartcommunity",0,0,12,119,10.08,"https://pbs.twimg.com/profile_images/1684751734420459520/Ok0PXBRx_x96.jpg, https://pbs.twimg.com/media/F4wwrBHa8AAg5_0?format=jpg&name=medium"
bluyakuza,@bluyakuza1,2023-08-30T05:06:34.000Z,"bluyakuza
@bluyakuza1
·
Aug 30Iron Maiden 2
#fantasyart #digitalart #bluyakuzaart #fantasy #starwars #LOTR #DnD",0,2,1,32,9.38,"https://pbs.twimg.com/profile_images/1610658896841957376/Tti5uFtl_x96.jpg, https://pbs.twimg.com/media/F4wSQrwWEAAwc0L?format=jpg&name=medium"
Oksana Dobrovolska,@TrexDestroyer0,2023-08-28T14:41:58.000Z,"Oksana Dobrovolska
@TrexDestroyer0
·
Aug 28#artstationhq #artstation #conceptart #conceptartist #environmentdesign #digitalart #artistoninstagram #fantasyart #fantasyartwork #storytelling #kingarthur #lotr #ledend #fantasy #gragon #environmentart #wizard #magic #environmentconcept",0,1,7,225,3.56,"https://pbs.twimg.com/profile_images/1491149553931853824/IiDfjnO2_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f1fa-1f1e6.svg, https://pbs.twimg.com/media/F4oCxqZWQAAb9vh?format=jpg&name=medium"
ZakheleArt | Commissions • OPEN,@ZakheleArt,2023-08-28T12:34:02.000Z,"ZakheleArt | Commissions • OPEN
@ZakheleArt
·
Aug 28Sketch of Thorin based on my PFP self portrait and 3D sculptured bust.
#digitalart #ArtistOnX #portrait #thehobbit #LOTR",0,3,10,276,4.71,"https://pbs.twimg.com/profile_images/1446879704288477187/itX7y80A_x96.jpg, https://pbs.twimg.com/media/F4nlf1kXoAA7ccX?format=jpg&name=medium"
Tonksminiature painting,@Tonks_Art,2023-08-25T20:35:24.000Z,"Tonksminiature painting
@Tonks_Art
·
Aug 25Redrew a fun little commission I did a few years ago for 
@mighty4pear
.
No major upgrade, but digitalized it and changed some details. Gave me a chance to practice on my iPad.
#artofinstagram #art #digitalart #disney #gondor #lotr #chipanddale #procreate",0,1,3,88,4.55,"https://pbs.twimg.com/profile_images/1714803116309106688/tZA3djpx_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/2728.svg, https://abs-0.twimg.com/emoji/v2/svg/2728.svg, https://pbs.twimg.com/card_img/1719009519630684160/AJAoGeT0?format=jpg&name=small"
moonburied@WHOLE CAKE(?,moonburied@WHOLE CAKE(?,2023-08-17T16:39:11.000Z,"moonburied@WHOLE CAKE(?
@Ebee_blue
·
Aug 17Here a cute drawing that i made for my first 6 months with my lovely husband 
@m_sigma39
 
Us as an elf and hobbit
.
#lotr #avatar #selfinsert #anniversary #digitalart",0,2,3,436,1.15,"https://pbs.twimg.com/profile_images/1664262582935453697/6A4t_Oic_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f493.svg, https://pbs.twimg.com/media/F3v0HQeXsAIfzhF?format=jpg&name=900x900, https://pbs.twimg.com/media/F3v0HlbWMAA8ohA?format=jpg&name=900x900"
