Timestamp,Image-Type,Text Sentiment,Word count,# of Hashtags,Quality of Images,Relevant Image,Face Presence,Colorfulness,Engagement Score
2023-05-16T20:56:39.000Z,0,1,5,2,1,1,1,9.732409304554710,2.46
2023-05-21T07:57:48.000Z,1,0,2,37,-1,-1,-1,16.940219446989500,2.44
2023-05-21T07:57:48.000Z,1,0,2,37,-1,-1,-1,22.6666779384587,2.44
2023-05-21T07:57:48.000Z,1,0,2,37,-1,-1,-1,4.857051265712190,2.44
2023-05-21T07:57:48.000Z,1,0,2,37,-1,-1,-1,13.086953493139200,2.44
2023-04-29T11:33:26.000Z,0,1,27,11,1,1,1,9.272525426279840,2.44
2023-04-12T13:16:38.000Z,0,0,3,6,1,1,-1,0.005931605784939590,2.44
2023-02-04T07:01:52.000Z,0,1,10,2,1,1,1,13.450699315808500,2.44
2023-05-13T13:40:01.000Z,0,0,2,28,-1,-1,-1,9.468267188758770,2.41
2023-05-11T18:38:34.000Z,0,1,30,9,1,1,1,0.0,2.39
2023-04-29T00:18:01.000Z,0,0,0,0,1,1,1,18.952613784902500,2.38
2023-08-09T12:07:37.000Z,0,0,2,24,1,1,1,8.342757870961290,2.38
2023-09-25T02:20:46.000Z,0,-1,11,2,1,1,1,4.431550337359440,2.38
2023-05-21T17:25:47.000Z,0,1,24,11,-1,-1,1,9.840947072017890,2.37
2023-04-27T21:07:29.000Z,0,1,13,18,1,1,1,0.0,2.34
2023-05-16T19:40:18.000Z,0,1,14,8,1,1,1,11.633639874481600,2.34
2023-09-22T15:50:47.000Z,1,1,32,8,1,1,-1,10.949492685875400,2.33
2023-09-22T15:50:47.000Z,1,1,32,8,1,1,-1,9.49488809166946,2.33
2023-09-22T15:50:47.000Z,1,1,32,8,1,1,-1,10.558558959367600,2.33
2023-09-22T15:50:47.000Z,1,1,32,8,1,1,-1,7.196381021518050,2.33
2023-07-28T01:49:23.000Z,0,1,12,6,1,1,1,5.087961069364040,2.32
2023-05-08T15:58:10.000Z,0,0,16,20,1,-1,-1,4.334610269619270,2.31
2023-06-29T10:35:34.000Z,1,0,3,20,1,-1,-1,22.12289834639290,2.30
2023-05-17T11:07:02.000Z,0,1,7,5,1,1,1,10.89801128849590,2.29
2023-08-12T21:20:53.000Z,0,0,3,23,1,1,1,31.346142054594800,2.28
2023-07-06T21:08:20.000Z,0,1,18,13,1,1,-1,16.25256038215450,2.28
2023-07-23T12:59:21.000Z,0,0,17,9,1,1,-1,7.038573828082190,2.28
2023-01-09T16:17:40.000Z,0,1,12,19,1,-1,-1,4.268239793666050,2.26
2023-01-09T16:17:40.000Z,0,1,12,19,1,-1,-1,4.866628882096600,2.26
2023-10-06T06:56:43.000Z,1,0,2,19,1,-1,1,4.5858007750293900,2.26
2023-10-06T06:56:43.000Z,1,0,2,19,1,-1,1,5.5725764635262500,2.26
2023-10-06T06:56:43.000Z,1,0,2,19,1,-1,1,2.642753448770150,2.26
2023-10-06T06:56:43.000Z,1,0,2,19,1,-1,1,5.786548080322780,2.26
2023-08-12T21:25:12.000Z,0,1,9,3,1,1,-1,11.125488112787200,2.25
2023-04-07T15:21:50.000Z,0,0,3,11,1,1,1,20.14667849361140,2.22
2023-04-07T15:21:50.000Z,0,0,3,11,1,1,1,15.918968904003400,2.22
2023-04-07T15:21:50.000Z,0,0,3,11,1,1,1,19.449385450814000,2.22
2023-04-07T15:21:50.000Z,0,0,3,11,1,1,1,13.039909835975000,2.22
2023-04-27T22:01:18.000Z,1,1,15,17,1,-1,-1,8.63098022634894,2.21
2023-05-03T16:47:20.000Z,-1,1,15,20,0,0,0,0.0,2.19
2023-05-05T14:12:26.000Z,0,0,5,22,1,-1,1,4.30796180133155,2.19
2023-05-29T04:23:47.000Z,0,0,2,21,1,1,1,9.55573549490558,2.18
2023-09-25T06:23:00.000Z,1,0,6,19,1,-1,1,21.049378884154900,2.18
2023-05-08T21:19:10.000Z,0,0,4,6,1,1,1,1.5883777189985500,2.17
2023-04-18T16:31:30.000Z,0,1,17,20,1,-1,-1,3.1909800644092500,2.17
2023-07-31T01:38:02.000Z,0,1,8,3,1,1,-1,3.995601961460510,2.17
2023-06-06T00:39:26.000Z,0,0,0,16,1,1,-1,17.008900568926500,2.17
2022-12-29T00:59:38.000Z,0,1,37,6,1,1,-1,10.26739028319480,2.17
